"index,Date,Value,Sentiment,BTC_Closing,BTC_Volume,Sentiment_Group"
"1148,2021-03-25,60.0,Greed,51704.16015625,67999812841,Greed"
"1149,2021-03-26,54.0,Neutral,55137.3125,56652197978,Neutral"
"1150,2021-03-27,65.0,Greed,55973.51171875,47266542233,Greed"
"1151,2021-03-28,74.0,Greed,55950.74609375,47686580918,Greed"
"1152,2021-03-29,72.0,Greed,57750.19921875,57625587027,Greed"
"1153,2021-03-30,72.0,Greed,58917.69140625,54414116432,Greed"
"1154,2021-03-31,76.0,Extreme Greed,58918.83203125,65520826225,Greed"
"1155,2021-04-01,74.0,Greed,59095.80859375,61669163792,Greed"
"1156,2021-04-02,74.0,Greed,59384.3125,58727860620,Greed"
"1157,2021-04-03,73.0,Greed,57603.890625,59641344484,Greed"
"1158,2021-04-04,74.0,Greed,58758.5546875,50749662970,Greed"
"1159,2021-04-05,71.0,Greed,59057.87890625,60706272115,Greed"
"1160,2021-04-06,75.0,Greed,58192.359375,66058027988,Greed"
"1161,2021-04-07,72.0,Greed,56048.9375,75645303584,Greed"
"1162,2021-04-08,73.0,Greed,58323.953125,53053855641,Greed"
"1163,2021-04-09,70.0,Greed,58245.00390625,46655208546,Greed"
"1164,2021-04-10,70.0,Greed,59793.234375,58238470525,Greed"
"1165,2021-04-11,76.0,Extreme Greed,60204.96484375,46280252580,Greed"
"1166,2021-04-12,74.0,Greed,59893.453125,51828688519,Greed"
"1167,2021-04-13,74.0,Greed,63503.45703125,69983454362,Greed"
"1168,2021-04-14,75.0,Greed,63109.6953125,77451779687,Greed"
"1169,2021-04-15,79.0,Extreme Greed,63314.01171875,60954381579,Greed"
"1170,2021-04-16,78.0,Extreme Greed,61572.7890625,84293007468,Greed"
"1171,2021-04-17,76.0,Extreme Greed,60683.8203125,66138759198,Greed"
"1172,2021-04-18,79.0,Extreme Greed,56216.18359375,97468872758,Greed"
"1173,2021-04-19,74.0,Greed,55724.265625,65344865159,Greed"
"1174,2021-04-20,73.0,Greed,56473.03125,67849323955,Greed"
"1175,2021-04-21,73.0,Greed,53906.08984375,54926612466,Greed"
"1176,2021-04-22,65.0,Greed,51762.2734375,74798630778,Greed"
"1177,2021-04-23,55.0,Greed,51093.65234375,86668667320,Greed"
"1178,2021-04-24,37.0,Fear,50050.8671875,49014494781,Fear"
"1179,2021-04-25,31.0,Fear,49004.25390625,46117114240,Fear"
"1180,2021-04-26,27.0,Fear,54021.75390625,58284039825,Fear"
"1181,2021-04-27,50.0,Neutral,55033.1171875,49448222757,Neutral"
"1182,2021-04-28,59.0,Greed,54824.703125,48000572955,Greed"
"1183,2021-04-29,52.0,Neutral,53555.109375,46088929780,Neutral"
"1184,2021-04-30,51.0,Neutral,57750.17578125,52395931985,Neutral"
"1185,2021-05-01,68.0,Greed,57828.05078125,42836427360,Greed"
"1186,2021-05-02,66.0,Greed,56631.078125,38177405335,Greed"
"1187,2021-05-03,61.0,Greed,57200.29296875,51713139031,Greed"
"1188,2021-05-04,68.0,Greed,53333.5390625,68564706967,Greed"
"1189,2021-05-05,48.0,Neutral,57424.0078125,69241316747,Neutral"
"1190,2021-05-06,65.0,Greed,56396.515625,69523285106,Greed"
"1191,2021-05-07,64.0,Greed,57356.40234375,68434023376,Greed"
"1192,2021-05-08,67.0,Greed,58803.77734375,65382980634,Greed"
"1193,2021-05-09,73.0,Greed,58232.31640625,65906690347,Greed"
"1194,2021-05-10,72.0,Greed,55859.796875,71776546298,Greed"
"1195,2021-05-11,61.0,Greed,56704.57421875,61308396325,Greed"
"1196,2021-05-12,68.0,Greed,49150.53515625,75215403907,Greed"
